"","lon","lat"
"496",-77.1932445,38.8377341
"497",-77.0617805,38.8116885
"498",-77.1269733,38.8112377
"499",-77.1391119,38.8122426
"500",-77.0641366,38.8000745
"501",-77.1165298,38.8088491
"502",-77.0546362,38.79727
"503",-77.0722647,38.83646
"504",-77.0502006,38.7913664
"505",-77.1691219,38.7848781
"506",-77.113288,38.795922
"507",-77.0830278,38.7856464
"508",-77.2232148,38.8999965
"509",-77.212683,38.872095
"510",-77.2311952,38.913667
"511",-77.1467078,38.8711612
"512",-77.1184261,38.8940254
"513",-77.0658826,38.8648548
"514",-77.1400676,38.9026841
"515",-77.0817533,38.8897706
"516",-77.0618655,38.8477765
"517",-77.1144049,38.8389748
"518",-77.1128528,38.9016929
"519",-77.1181564,38.774658
"520",-77.1624091,38.8517508
"521",-77.1962542,38.9368923
"522",-77.1515325,38.8661482
"523",-77.1773411,38.8315063
"524",-77.2067203,38.8275744
"525",-77.1907288,38.8054585
"526",-77.109526,38.879446
"527",-77.1115183,38.783871
"528",-77.1503645,38.804735
"529",-77.132427,38.84504
"530",-77.2152092,38.7669488
"531",-77.1052641,38.836659
"532",-77.1767029,38.841489
"533",-77.1869789,38.9267026
"534",-77.1866857,38.9054872
"535",-77.2049886,38.7950424
"536",-77.1867306,38.7890507
"537",-77.1466076,38.9517915
"538",-77.1357306,38.8109564
"539",-77.2458559,38.9290697
"540",-77.1733795,38.9223794
"541",-77.086496,38.8769529
"542",-77.1575487,38.9360563
"543",-77.084964,38.802174
"544",-77.2285033,38.8048215
"545",-77.2004198,38.9155959
"546",-77.0791737,38.8835344
"547",-77.1155942,38.8193197
"548",-77.0803872,38.8363017
"549",-77.130114,38.8136452
"550",-77.1046191,38.8165327
"551",-77.1108766,38.828627
"552",-77.128072,38.830374
"553",-77.1159254,38.8319512
"554",-77.1295776,38.8264202
"555",-77.2009708,38.7902693
"556",-77.2131432,38.948437
"557",-77.2345654,38.7875156
"558",-77.1020406,38.8078972
